"Hot Spot","Self Time (microseconds)","Average Time (microseconds)","Invocations"
"java.util.Deque.removeFirst()",5183,0,57168
"kanzi.transform.DivSufSort.ssFixDown(int, int, int, int, int)",4858,0,43646
"kanzi.Global.squash(int)",4840,1,3895
"java.util.Deque.size()",4557,0,57168
"kanzi.entropy.EntropyUtils.encodeAlphabet(kanzi.OutputBitStream, int[ ], int)",4035,1,2773
"kanzi.entropy.ANSRangeEncoder.encode(byte[ ], int, int)",3915,68,57
"java.lang.Integer.numberOfLeadingZeros(int)",3756,0,46524
"kanzi.io.CompressedOutputStream.processBlock()",3339,58,57
"java.util.ArrayDeque.<init>(java.util.Collection)",3292,4,720
"kanzi.app.BlockCompressor.<init>(java.util.Map)",3200,3200,1
"kanzi.Global.initStretch()",3051,3051,1
"java.util.Deque.addLast(java.lang.Object)",2714,0,30781
"kanzi.transform.TransformFactory.newFunctionToken(java.util.Map, int)",2522,14,171
"kanzi.transform.BWTBlockCodec.<init>(java.util.Map)",2479,43,57
"kanzi.transform.DivSufSort.<init>()",2371,41,57
"kanzi.Global.initSquash()",2200,2200,1
"kanzi.transform.DivSufSort.ssCompare(int, int, int, int)",2187,0,19807
"java.util.concurrent.ExecutorService.invokeAll(java.util.Collection)",2027,2027,1
"kanzi.entropy.ANSRangeEncoder.rebuildStatistics(byte[ ], int, int, int)",1979,0,2773
"kanzi.entropy.EntropyCodecFactory.newEncoder(kanzi.OutputBitStream, java.util.Map, int)",1899,33,57
"kanzi.transform.DivSufSort.reset()",1816,31,57
"kanzi.bitstream.DefaultOutputBitStream.flush()",1606,0,3520
"java.nio.file.Files.newDirectoryStream(java.nio.file.Path)",1546,1546,1
"kanzi.entropy.EntropyUtils.writeVarInt(kanzi.OutputBitStream, int)",1395,0,2773
"kanzi.transform.DivSufSort$StackElement.<init>(kanzi.transform.DivSufSort$1)",1363,0,6384
"kanzi.io.CompressedOutputStream.write(byte[ ], int, int)",1357,0,3239
"kanzi.transform.DivSufSort$Stack.<init>(int)",1341,7,171
"java.io.PrintStream.println(java.lang.String)",1339,74,18
"kanzi.entropy.ANSRangeEncoder$Symbol.<init>()",1299,0,14592
"kanzi.transform.TransformFactory.newFunction(java.util.Map, long)",1195,20,57
"kanzi.io.CompressedOutputStream.<init>(java.io.OutputStream, java.util.Map)",1096,91,12
"java.util.HashMap.<init>(java.util.Map)",1021,14,69
"kanzi.transform.BWTBlockCodec.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",1011,17,57
"kanzi.Global.sortFilesByPathAndSize(java.util.List, boolean)",928,928,1
"java.util.Collections.sort(java.util.List, java.util.Comparator)",856,856,1
"kanzi.transform.Sequence.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",851,14,57
"java.nio.file.Files.size(java.nio.file.Path)",774,11,68
"java.lang.Math.min(int, int)",759,0,6183
"kanzi.entropy.ANSRangeEncoder.<init>(kanzi.OutputBitStream, int, java.util.Map)",699,12,57
"kanzi.bitstream.DefaultOutputBitStream.isClosed()",693,0,6419
"kanzi.transform.DivSufSort$StackElement.<init>()",669,0,6384
"kanzi.Global.positiveOrNull(int)",632,0,3895
"java.nio.file.DirectoryStream.iterator()",533,533,1
"java.util.concurrent.atomic.AtomicBoolean.getAndSet(boolean)",530,7,69
"kanzi.bitstream.DefaultOutputBitStream.<init>(java.io.OutputStream, int)",499,7,69
"java.lang.Math.abs(int)",496,0,2730
"kanzi.bitstream.DefaultOutputBitStream.writeBit(int)",486,0,3915
"java.io.FileInputStream.<init>(java.lang.String)",462,38,12
"java.util.Map.put(java.lang.Object, java.lang.Object)",439,1,291
"java.util.ArrayList.<init>(int)",419,0,791
"java.lang.String.split(java.lang.String)",398,33,12
"java.lang.Character.valueOf(char)",375,375,1
"kanzi.app.Kanzi.createFileList(java.lang.String, java.util.List)",360,360,1
"java.lang.Integer.valueOf(int)",305,0,315
"java.nio.file.Files.exists(java.nio.file.Path, java.nio.file.LinkOption[ ])",296,22,13
"java.util.Iterator.hasNext()",295,7,40
"kanzi.transform.DivSufSort$Stack.size()",247,0,1179
